;	Simulated Data
;	t0	2010.35
s2	;	name	of	the	star
;	mK	13.95
;	spectral	type	B2
;	square	10.
;	facSchwarzschild	0	0
;	facSpecialRelativity	0	0
;	facGravitationalRedshift	0	0
;	facRetardation	0	0
;	useEllipse	FALSE
;	omegaSys	0	0
;	Dec2	0	0
;	Ra2	0	0
;	vDec2	0	0
;	vRa2	0	0
1992.12	-0.00607881543374	0.00001	0.176729380132	0.00001	;	simulated NACO
1992.122	-0.006101841171	0.00001	0.176738499474	0.00001	;	simulated NACO
1992.124	-0.00612486625748	0.00001	0.176747599965	0.00001	;	simulated NACO
1992.126	-0.00614789069091	0.00001	0.176756681612	0.00001	;	simulated NACO
1992.128	-0.00617091446902	0.00001	0.176765744418	0.00001	;	simulated NACO
1992.13	-0.00619393758956	0.00001	0.176774788387	0.00001	;	simulated NACO
1992.132	-0.00621696005026	0.00001	0.176783813525	0.00001	;	simulated NACO
1992.134	-0.00623998184885	0.00001	0.176792819835	0.00001	;	simulated NACO
1992.136	-0.00626300298308	0.00001	0.176801807322	0.00001	;	simulated NACO
1992.138	-0.00628602345069	0.00001	0.176810775991	0.00001	;	simulated NACO
1992.14	-0.00630904324941	0.00001	0.176819725846	0.00001	;	simulated NACO
1992.142	-0.00633206237699	0.00001	0.176828656891	0.00001	;	simulated NACO
1992.144	-0.00635508083117	0.00001	0.17683756913	0.00001	;	simulated NACO
1992.146	-0.0063780986097	0.00001	0.176846462569	0.00001	;	simulated NACO
1992.148	-0.00640111571032	0.00001	0.176855337212	0.00001	;	simulated NACO
1992.15	-0.00642413213079	0.00001	0.176864193062	0.00001	;	simulated NACO
1992.152	-0.00644714786885	0.00001	0.176873030125	0.00001	;	simulated NACO
1992.154	-0.00647016292224	0.00001	0.176881848405	0.00001	;	simulated NACO
1992.156	-0.00649317728873	0.00001	0.176890647906	0.00001	;	simulated NACO
1992.158	-0.00651619096606	0.00001	0.176899428633	0.00001	;	simulated NACO
1992.16	-0.00653920395198	0.00001	0.176908190589	0.00001	;	simulated NACO
1992.162	-0.00656221624426	0.00001	0.17691693378	0.00001	;	simulated NACO
1992.164	-0.00658522784064	0.00001	0.17692565821	0.00001	;	simulated NACO
1992.166	-0.00660823873889	0.00001	0.176934363883	0.00001	;	simulated NACO
1992.168	-0.00663124893676	0.00001	0.176943050803	0.00001	;	simulated NACO
1992.17	-0.00665425843201	0.00001	0.176951718975	0.00001	;	simulated NACO
1992.172	-0.0066772672224	0.00001	0.176960368403	0.00001	;	simulated NACO
1992.174	-0.00670027530569	0.00001	0.176968999092	0.00001	;	simulated NACO
1992.176	-0.00672328267965	0.00001	0.176977611046	0.00001	;	simulated NACO
1992.178	-0.00674628934204	0.00001	0.176986204269	0.00001	;	simulated NACO
1992.18	-0.00676929529062	0.00001	0.176994778766	0.00001	;	simulated NACO
1992.182	-0.00679230052317	0.00001	0.177003334541	0.00001	;	simulated NACO
1992.184	-0.00681530503744	0.00001	0.177011871598	0.00001	;	simulated NACO
1992.186	-0.00683830883121	0.00001	0.177020389942	0.00001	;	simulated NACO
1992.188	-0.00686131190225	0.00001	0.177028889576	0.00001	;	simulated NACO
1992.19	-0.00688431424833	0.00001	0.177037370506	0.00001	;	simulated NACO
1992.192	-0.00690731586722	0.00001	0.177045832735	0.00001	;	simulated NACO
