;	Simulated Data
;	t0	2010.35
s2	;	name	of	the	star
;	mK	13.95
;	spectral	type	B2
;	square	10.
;	facSchwarzschild	0	0
;	facSpecialRelativity	0	0
;	facGravitationalRedshift	0	0
;	facRetardation	0	0
;	useEllipse	FALSE
;	omegaSys	0	0
;	Dec2	0	0
;	Ra2	0	0
;	vDec2	0	0
;	vRa2	0	0
2006.718	0.0105996849767	0.00001	0.164830397017	0.00001	;	simulated NACO
2006.72	0.0105768970239	0.00001	0.164854713036	0.00001	;	simulated NACO
2006.722	0.0105541075463	0.00001	0.16487900529	0.00001	;	simulated NACO
2006.724	0.0105313165481	0.00001	0.164903273788	0.00001	;	simulated NACO
2006.726	0.0105085240333	0.00001	0.164927518539	0.00001	;	simulated NACO
2006.728	0.0104857300062	0.00001	0.164951739555	0.00001	;	simulated NACO
2006.73	0.0104629344708	0.00001	0.164975936844	0.00001	;	simulated NACO
2006.732	0.0104401374313	0.00001	0.165000110416	0.00001	;	simulated NACO
2006.734	0.0104173388918	0.00001	0.165024260282	0.00001	;	simulated NACO
2006.736	0.0103945388564	0.00001	0.165048386451	0.00001	;	simulated NACO
2006.738	0.0103717373292	0.00001	0.165072488933	0.00001	;	simulated NACO
2006.74	0.0103489343144	0.00001	0.165096567738	0.00001	;	simulated NACO
2006.742	0.010326129816	0.00001	0.165120622876	0.00001	;	simulated NACO
2006.744	0.0103033238381	0.00001	0.165144654356	0.00001	;	simulated NACO
2006.746	0.0102805163848	0.00001	0.165168662188	0.00001	;	simulated NACO
2006.748	0.0102577074603	0.00001	0.165192646381	0.00001	;	simulated NACO
2006.75	0.0102348970685	0.00001	0.165216606947	0.00001	;	simulated NACO
2006.752	0.0102120852136	0.00001	0.165240543894	0.00001	;	simulated NACO
2006.754	0.0101892718996	0.00001	0.165264457232	0.00001	;	simulated NACO
2006.756	0.0101664571306	0.00001	0.165288346971	0.00001	;	simulated NACO
2006.758	0.0101436409107	0.00001	0.16531221312	0.00001	;	simulated NACO
2006.76	0.010120823244	0.00001	0.16533605569	0.00001	;	simulated NACO
2006.762	0.0100980041344	0.00001	0.165359874689	0.00001	;	simulated NACO
2006.764	0.0100751835861	0.00001	0.165383670128	0.00001	;	simulated NACO
2006.766	0.010052361603	0.00001	0.165407442017	0.00001	;	simulated NACO
2006.768	0.0100295381893	0.00001	0.165431190364	0.00001	;	simulated NACO
2006.77	0.0100067133489	0.00001	0.165454915179	0.00001	;	simulated NACO
2006.772	0.00998388708595	0.00001	0.165478616473	0.00001	;	simulated NACO
2006.774	0.00996105940441	0.00001	0.165502294254	0.00001	;	simulated NACO
2006.776	0.00993823030831	0.00001	0.165525948533	0.00001	;	simulated NACO
2006.778	0.00991539980168	0.00001	0.165549579319	0.00001	;	simulated NACO
2006.78	0.00989256788854	0.00001	0.165573186621	0.00001	;	simulated NACO
2006.782	0.00986973457289	0.00001	0.165596770449	0.00001	;	simulated NACO
2006.784	0.00984689985873	0.00001	0.165620330813	0.00001	;	simulated NACO
2006.786	0.00982406375008	0.00001	0.165643867722	0.00001	;	simulated NACO
2006.788	0.00980122625093	0.00001	0.165667381186	0.00001	;	simulated NACO
2006.79	0.00977838736526	0.00001	0.165690871214	0.00001	;	simulated NACO
2006.792	0.00975554709707	0.00001	0.165714337816	0.00001	;	simulated NACO
2006.794	0.00973270545035	0.00001	0.165737781001	0.00001	;	simulated NACO
2006.796	0.00970986242907	0.00001	0.165761200778	0.00001	;	simulated NACO
2006.798	0.0096870180372	0.00001	0.165784597158	0.00001	;	simulated NACO
2006.8	0.00966417227872	0.00001	0.16580797015	0.00001	;	simulated NACO
2006.802	0.0096413251576	0.00001	0.165831319762	0.00001	;	simulated NACO
2006.804	0.00961847667779	0.00001	0.165854646005	0.00001	;	simulated NACO
2006.806	0.00959562684326	0.00001	0.165877948888	0.00001	;	simulated NACO
2006.808	0.00957277565795	0.00001	0.165901228421	0.00001	;	simulated NACO
2006.81	0.00954992312582	0.00001	0.165924484613	0.00001	;	simulated NACO
2006.812	0.00952706925081	0.00001	0.165947717472	0.00001	;	simulated NACO
2006.814	0.00950421403686	0.00001	0.16597092701	0.00001	;	simulated NACO
2006.816	0.00948135748791	0.00001	0.165994113234	0.00001	;	simulated NACO
2006.818	0.00945849960788	0.00001	0.166017276155	0.00001	;	simulated NACO
2006.82	0.00943564040072	0.00001	0.166040415781	0.00001	;	simulated NACO
2006.822	0.00941277987033	0.00001	0.166063532123	0.00001	;	simulated NACO
2006.824	0.00938991802064	0.00001	0.166086625189	0.00001	;	simulated NACO
2006.826	0.00936705485556	0.00001	0.166109694988	0.00001	;	simulated NACO
2006.828	0.00934419037901	0.00001	0.166132741531	0.00001	;	simulated NACO
2006.83	0.00932132459489	0.00001	0.166155764826	0.00001	;	simulated NACO
2006.832	0.00929845750709	0.00001	0.166178764883	0.00001	;	simulated NACO
2006.834	0.00927558911953	0.00001	0.166201741711	0.00001	;	simulated NACO
2006.836	0.00925271943608	0.00001	0.166224695319	0.00001	;	simulated NACO
2006.838	0.00922984846065	0.00001	0.166247625716	0.00001	;	simulated NACO
2006.84	0.00920697619712	0.00001	0.166270532913	0.00001	;	simulated NACO
2006.842	0.00918410264936	0.00001	0.166293416917	0.00001	;	simulated NACO
2006.844	0.00916122782126	0.00001	0.166316277738	0.00001	;	simulated NACO
2006.846	0.00913835171668	0.00001	0.166339115386	0.00001	;	simulated NACO
2006.848	0.00911547433949	0.00001	0.16636192987	0.00001	;	simulated NACO
2006.85	0.00909259569357	0.00001	0.166384721198	0.00001	;	simulated NACO
2006.852	0.00906971578276	0.00001	0.16640748938	0.00001	;	simulated NACO
2006.854	0.00904683461092	0.00001	0.166430234426	0.00001	;	simulated NACO
2006.856	0.00902395218191	0.00001	0.166452956344	0.00001	;	simulated NACO
2006.858	0.00900106849957	0.00001	0.166475655143	0.00001	;	simulated NACO
2006.86	0.00897818356775	0.00001	0.166498330833	0.00001	;	simulated NACO
2006.862	0.00895529739028	0.00001	0.166520983423	0.00001	;	simulated NACO
2006.864	0.008932409971	0.00001	0.166543612922	0.00001	;	simulated NACO
2006.866	0.00890952131375	0.00001	0.166566219338	0.00001	;	simulated NACO
2006.868	0.00888663142234	0.00001	0.166588802682	0.00001	;	simulated NACO
2006.87	0.0088637403006	0.00001	0.166611362963	0.00001	;	simulated NACO
2006.872	0.00884084795234	0.00001	0.166633900188	0.00001	;	simulated NACO
2006.874	0.00881795438139	0.00001	0.166656414368	0.00001	;	simulated NACO
2006.876	0.00879505959156	0.00001	0.166678905511	0.00001	;	simulated NACO
2006.878	0.00877216358664	0.00001	0.166701373627	0.00001	;	simulated NACO
2006.88	0.00874926637044	0.00001	0.166723818725	0.00001	;	simulated NACO
2006.882	0.00872636794677	0.00001	0.166746240813	0.00001	;	simulated NACO
2006.884	0.00870346831941	0.00001	0.1667686399	0.00001	;	simulated NACO
2006.886	0.00868056749215	0.00001	0.166791015996	0.00001	;	simulated NACO
2006.888	0.00865766546879	0.00001	0.16681336911	0.00001	;	simulated NACO
2006.89	0.0086347622531	0.00001	0.166835699251	0.00001	;	simulated NACO
2006.892	0.00861185784886	0.00001	0.166858006426	0.00001	;	simulated NACO
2006.894	0.00858895225984	0.00001	0.166880290647	0.00001	;	simulated NACO
2006.896	0.00856604548982	0.00001	0.166902551921	0.00001	;	simulated NACO
2006.898	0.00854313754256	0.00001	0.166924790257	0.00001	;	simulated NACO
2006.9	0.00852022842182	0.00001	0.166947005665	0.00001	;	simulated NACO
2006.902	0.00849731813136	0.00001	0.166969198153	0.00001	;	simulated NACO
2006.904	0.00847440667494	0.00001	0.166991367731	0.00001	;	simulated NACO
2006.906	0.00845149405631	0.00001	0.167013514406	0.00001	;	simulated NACO
2006.908	0.00842858027921	0.00001	0.167035638189	0.00001	;	simulated NACO
2006.91	0.00840566534738	0.00001	0.167057739087	0.00001	;	simulated NACO
2006.912	0.00838274926456	0.00001	0.167079817111	0.00001	;	simulated NACO
2006.914	0.0083598320345	0.00001	0.167101872267	0.00001	;	simulated NACO
2006.916	0.00833691366091	0.00001	0.167123904567	0.00001	;	simulated NACO
2006.918	0.00831399414752	0.00001	0.167145914018	0.00001	;	simulated NACO
2006.92	0.00829107349806	0.00001	0.167167900629	0.00001	;	simulated NACO
2006.922	0.00826815171625	0.00001	0.167189864409	0.00001	;	simulated NACO
2006.924	0.0082452288058	0.00001	0.167211805367	0.00001	;	simulated NACO
2006.926	0.00822230477042	0.00001	0.167233723511	0.00001	;	simulated NACO
2006.928	0.00819937961381	0.00001	0.167255618851	0.00001	;	simulated NACO
2006.93	0.0081764533397	0.00001	0.167277491396	0.00001	;	simulated NACO
2006.932	0.00815352595176	0.00001	0.167299341153	0.00001	;	simulated NACO
2006.934	0.0081305974537	0.00001	0.167321168132	0.00001	;	simulated NACO
2006.936	0.00810766784921	0.00001	0.167342972342	0.00001	;	simulated NACO
2006.938	0.00808473714197	0.00001	0.167364753791	0.00001	;	simulated NACO
2006.94	0.00806180533568	0.00001	0.167386512488	0.00001	;	simulated NACO
2006.942	0.008038872434	0.00001	0.167408248441	0.00001	;	simulated NACO
2006.944	0.00801593844063	0.00001	0.16742996166	0.00001	;	simulated NACO
2006.946	0.00799300335922	0.00001	0.167451652154	0.00001	;	simulated NACO
2006.948	0.00797006719345	0.00001	0.16747331993	0.00001	;	simulated NACO
2006.95	0.00794712994699	0.00001	0.167494964998	0.00001	;	simulated NACO
2006.952	0.00792419162349	0.00001	0.167516587366	0.00001	;	simulated NACO
2006.954	0.00790125222661	0.00001	0.167538187043	0.00001	;	simulated NACO
2006.956	0.00787831176001	0.00001	0.167559764037	0.00001	;	simulated NACO
2006.958	0.00785537022733	0.00001	0.167581318358	0.00001	;	simulated NACO
2006.96	0.00783242763222	0.00001	0.167602850013	0.00001	;	simulated NACO
2006.962	0.00780948397833	0.00001	0.167624359012	0.00001	;	simulated NACO
2006.964	0.00778653926929	0.00001	0.167645845363	0.00001	;	simulated NACO
2006.966	0.00776359350873	0.00001	0.167667309075	0.00001	;	simulated NACO
2006.968	0.0077406467003	0.00001	0.167688750156	0.00001	;	simulated NACO
2006.97	0.0077176988476	0.00001	0.167710168615	0.00001	;	simulated NACO
2006.972	0.00769474995428	0.00001	0.16773156446	0.00001	;	simulated NACO
2006.974	0.00767180002395	0.00001	0.167752937701	0.00001	;	simulated NACO
2006.976	0.00764884906022	0.00001	0.167774288345	0.00001	;	simulated NACO
2006.978	0.0076258970667	0.00001	0.167795616401	0.00001	;	simulated NACO
2006.98	0.00760294404702	0.00001	0.167816921878	0.00001	;	simulated NACO
2006.982	0.00757999000476	0.00001	0.167838204784	0.00001	;	simulated NACO
2006.984	0.00755703494354	0.00001	0.167859465128	0.00001	;	simulated NACO
2006.986	0.00753407886694	0.00001	0.167880702918	0.00001	;	simulated NACO
2006.988	0.00751112177857	0.00001	0.167901918163	0.00001	;	simulated NACO
2006.99	0.00748816368201	0.00001	0.167923110871	0.00001	;	simulated NACO
2006.992	0.00746520458086	0.00001	0.167944281051	0.00001	;	simulated NACO
2006.994	0.00744224447869	0.00001	0.167965428711	0.00001	;	simulated NACO
2006.996	0.00741928337907	0.00001	0.16798655386	0.00001	;	simulated NACO
2006.998	0.0073963212856	0.00001	0.168007656505	0.00001	;	simulated NACO
2007.	0.00737335820185	0.00001	0.168028736657	0.00001	;	simulated NACO
2007.002	0.00735039413137	0.00001	0.168049794322	0.00001	;	simulated NACO
2007.004	0.00732742907773	0.00001	0.16807082951	0.00001	;	simulated NACO
2007.006	0.0073044630445	0.00001	0.168091842229	0.00001	;	simulated NACO
2007.008	0.00728149603523	0.00001	0.168112832486	0.00001	;	simulated NACO
2007.01	0.00725852805349	0.00001	0.168133800292	0.00001	;	simulated NACO
2007.012	0.00723555910281	0.00001	0.168154745654	0.00001	;	simulated NACO
2007.014	0.00721258918674	0.00001	0.16817566858	0.00001	;	simulated NACO
2007.016	0.00718961830883	0.00001	0.168196569078	0.00001	;	simulated NACO
2007.018	0.00716664647262	0.00001	0.168217447158	0.00001	;	simulated NACO
2007.02	0.00714367368164	0.00001	0.168238302828	0.00001	;	simulated NACO
2007.022	0.00712069993944	0.00001	0.168259136095	0.00001	;	simulated NACO
2007.024	0.00709772524952	0.00001	0.168279946968	0.00001	;	simulated NACO
2007.026	0.00707474961543	0.00001	0.168300735456	0.00001	;	simulated NACO
2007.028	0.00705177304068	0.00001	0.168321501567	0.00001	;	simulated NACO
2007.03	0.00702879552879	0.00001	0.168342245308	0.00001	;	simulated NACO
2007.032	0.00700581708328	0.00001	0.168362966689	0.00001	;	simulated NACO
2007.034	0.00698283770766	0.00001	0.168383665718	0.00001	;	simulated NACO
2007.036	0.00695985740544	0.00001	0.168404342403	0.00001	;	simulated NACO
2007.038	0.00693687618011	0.00001	0.168424996752	0.00001	;	simulated NACO
2007.04	0.00691389403519	0.00001	0.168445628773	0.00001	;	simulated NACO
2007.042	0.00689091097417	0.00001	0.168466238475	0.00001	;	simulated NACO
2007.044	0.00686792700053	0.00001	0.168486825866	0.00001	;	simulated NACO
2007.046	0.00684494211779	0.00001	0.168507390955	0.00001	;	simulated NACO
2007.048	0.00682195632941	0.00001	0.168527933748	0.00001	;	simulated NACO
2007.05	0.00679896963889	0.00001	0.168548454256	0.00001	;	simulated NACO
2007.052	0.0067759820497	0.00001	0.168568952485	0.00001	;	simulated NACO
2007.054	0.00675299356532	0.00001	0.168589428444	0.00001	;	simulated NACO
2007.056	0.00673000418922	0.00001	0.168609882141	0.00001	;	simulated NACO
2007.058	0.00670701392488	0.00001	0.168630313585	0.00001	;	simulated NACO
2007.06	0.00668402277576	0.00001	0.168650722783	0.00001	;	simulated NACO
2007.062	0.00666103074532	0.00001	0.168671109744	0.00001	;	simulated NACO
2007.064	0.00663803783702	0.00001	0.168691474476	0.00001	;	simulated NACO
2007.066	0.00661504405432	0.00001	0.168711816986	0.00001	;	simulated NACO
2007.068	0.00659204940068	0.00001	0.168732137284	0.00001	;	simulated NACO
2007.07	0.00656905387953	0.00001	0.168752435377	0.00001	;	simulated NACO
2007.072	0.00654605749433	0.00001	0.168772711273	0.00001	;	simulated NACO
2007.074	0.00652306024851	0.00001	0.168792964981	0.00001	;	simulated NACO
2007.076	0.00650006214553	0.00001	0.168813196508	0.00001	;	simulated NACO
2007.078	0.0064770631888	0.00001	0.168833405863	0.00001	;	simulated NACO
2007.08	0.00645406338178	0.00001	0.168853593053	0.00001	;	simulated NACO
2007.082	0.00643106272787	0.00001	0.168873758087	0.00001	;	simulated NACO
2007.084	0.00640806123052	0.00001	0.168893900973	0.00001	;	simulated NACO
2007.086	0.00638505889314	0.00001	0.168914021719	0.00001	;	simulated NACO
2007.088	0.00636205571915	0.00001	0.168934120333	0.00001	;	simulated NACO
2007.09	0.00633905171196	0.00001	0.168954196822	0.00001	;	simulated NACO
2007.092	0.006316046875	0.00001	0.168974251196	0.00001	;	simulated NACO
2007.094	0.00629304121166	0.00001	0.168994283461	0.00001	;	simulated NACO
2007.096	0.00627003472535	0.00001	0.169014293626	0.00001	;	simulated NACO
2007.098	0.00624702741948	0.00001	0.1690342817	0.00001	;	simulated NACO
2007.1	0.00622401929745	0.00001	0.169054247689	0.00001	;	simulated NACO
2007.102	0.00620101036264	0.00001	0.169074191602	0.00001	;	simulated NACO
2007.104	0.00617800061846	0.00001	0.169094113447	0.00001	;	simulated NACO
2007.106	0.00615499006829	0.00001	0.169114013231	0.00001	;	simulated NACO
2007.108	0.00613197871551	0.00001	0.169133890964	0.00001	;	simulated NACO
2007.11	0.00610896656351	0.00001	0.169153746652	0.00001	;	simulated NACO
2007.112	0.00608595361567	0.00001	0.169173580303	0.00001	;	simulated NACO
2007.114	0.00606293987537	0.00001	0.169193391927	0.00001	;	simulated NACO
2007.116	0.00603992534597	0.00001	0.169213181529	0.00001	;	simulated NACO
2007.118	0.00601691003085	0.00001	0.169232949119	0.00001	;	simulated NACO
2007.12	0.00599389393338	0.00001	0.169252694704	0.00001	;	simulated NACO
2007.122	0.0059708770569	0.00001	0.169272418293	0.00001	;	simulated NACO
2007.124	0.0059478594048	0.00001	0.169292119892	0.00001	;	simulated NACO
2007.126	0.00592484098041	0.00001	0.169311799511	0.00001	;	simulated NACO
2007.128	0.0059018217871	0.00001	0.169331457156	0.00001	;	simulated NACO
2007.13	0.00587880182821	0.00001	0.169351092835	0.00001	;	simulated NACO
2007.132	0.00585578110709	0.00001	0.169370706557	0.00001	;	simulated NACO
2007.134	0.00583275962709	0.00001	0.16939029833	0.00001	;	simulated NACO
2007.136	0.00580973739155	0.00001	0.16940986816	0.00001	;	simulated NACO
2007.138	0.0057867144038	0.00001	0.169429416056	0.00001	;	simulated NACO
2007.14	0.00576369066717	0.00001	0.169448942026	0.00001	;	simulated NACO
2007.142	0.005740666185	0.00001	0.169468446078	0.00001	;	simulated NACO
2007.144	0.00571764096062	0.00001	0.169487928219	0.00001	;	simulated NACO
2007.146	0.00569461499734	0.00001	0.169507388457	0.00001	;	simulated NACO
2007.148	0.0056715882985	0.00001	0.169526826799	0.00001	;	simulated NACO
2007.15	0.0056485608674	0.00001	0.169546243255	0.00001	;	simulated NACO
2007.152	0.00562553270737	0.00001	0.169565637831	0.00001	;	simulated NACO
2007.154	0.00560250382171	0.00001	0.169585010534	0.00001	;	simulated NACO
2007.156	0.00557947421374	0.00001	0.169604361374	0.00001	;	simulated NACO
2007.158	0.00555644388676	0.00001	0.169623690358	0.00001	;	simulated NACO
2007.16	0.00553341284406	0.00001	0.169642997492	0.00001	;	simulated NACO
2007.162	0.00551038108896	0.00001	0.169662282786	0.00001	;	simulated NACO
2007.164	0.00548734862475	0.00001	0.169681546246	0.00001	;	simulated NACO
2007.166	0.00546431545472	0.00001	0.169700787881	0.00001	;	simulated NACO
2007.168	0.00544128158216	0.00001	0.169720007698	0.00001	;	simulated NACO
2007.17	0.00541824701035	0.00001	0.169739205705	0.00001	;	simulated NACO
2007.172	0.00539521174258	0.00001	0.169758381909	0.00001	;	simulated NACO
2007.174	0.00537217578214	0.00001	0.169777536318	0.00001	;	simulated NACO
2007.176	0.0053491391323	0.00001	0.16979666894	0.00001	;	simulated NACO
2007.178	0.00532610179632	0.00001	0.169815779783	0.00001	;	simulated NACO
2007.18	0.00530306377749	0.00001	0.169834868853	0.00001	;	simulated NACO
2007.182	0.00528002507908	0.00001	0.16985393616	0.00001	;	simulated NACO
2007.184	0.00525698570434	0.00001	0.169872981709	0.00001	;	simulated NACO
2007.186	0.00523394565655	0.00001	0.16989200551	0.00001	;	simulated NACO
2007.188	0.00521090493895	0.00001	0.169911007569	0.00001	;	simulated NACO
2007.19	0.00518786355481	0.00001	0.169929987894	0.00001	;	simulated NACO
2007.192	0.00516482150737	0.00001	0.169948946492	0.00001	;	simulated NACO
2007.194	0.0051417787999	0.00001	0.169967883372	0.00001	;	simulated NACO
2007.196	0.00511873543563	0.00001	0.169986798541	0.00001	;	simulated NACO
2007.198	0.0050956914178	0.00001	0.170005692007	0.00001	;	simulated NACO
2007.2	0.00507264674967	0.00001	0.170024563776	0.00001	;	simulated NACO
2007.202	0.00504960143447	0.00001	0.170043413856	0.00001	;	simulated NACO
2007.204	0.00502655547543	0.00001	0.170062242256	0.00001	;	simulated NACO
2007.206	0.00500350887578	0.00001	0.170081048982	0.00001	;	simulated NACO
2007.208	0.00498046163876	0.00001	0.170099834043	0.00001	;	simulated NACO
2007.21	0.00495741376758	0.00001	0.170118597445	0.00001	;	simulated NACO
2007.212	0.00493436526548	0.00001	0.170137339196	0.00001	;	simulated NACO
2007.214	0.00491131613567	0.00001	0.170156059303	0.00001	;	simulated NACO
2007.216	0.00488826638137	0.00001	0.170174757775	0.00001	;	simulated NACO
2007.218	0.00486521600579	0.00001	0.170193434618	0.00001	;	simulated NACO
2007.22	0.00484216501215	0.00001	0.170212089841	0.00001	;	simulated NACO
2007.222	0.00481911340365	0.00001	0.170230723449	0.00001	;	simulated NACO
2007.224	0.00479606118349	0.00001	0.170249335452	0.00001	;	simulated NACO
2007.226	0.00477300835488	0.00001	0.170267925856	0.00001	;	simulated NACO
2007.228	0.00474995492102	0.00001	0.170286494669	0.00001	;	simulated NACO
2007.23	0.00472690088511	0.00001	0.170305041898	0.00001	;	simulated NACO
2007.232	0.00470384625033	0.00001	0.17032356755	0.00001	;	simulated NACO
2007.234	0.00468079101988	0.00001	0.170342071634	0.00001	;	simulated NACO
2007.236	0.00465773519694	0.00001	0.170360554156	0.00001	;	simulated NACO
2007.238	0.00463467878471	0.00001	0.170379015124	0.00001	;	simulated NACO
2007.24	0.00461162178636	0.00001	0.170397454546	0.00001	;	simulated NACO
2007.242	0.00458856420506	0.00001	0.170415872428	0.00001	;	simulated NACO
2007.244	0.00456550604401	0.00001	0.170434268777	0.00001	;	simulated NACO
2007.246	0.00454244730636	0.00001	0.170452643603	0.00001	;	simulated NACO
2007.248	0.00451938799529	0.00001	0.170470996911	0.00001	;	simulated NACO
2007.25	0.00449632811396	0.00001	0.170489328709	0.00001	;	simulated NACO
2007.252	0.00447326766555	0.00001	0.170507639004	0.00001	;	simulated NACO
2007.254	0.00445020665321	0.00001	0.170525927804	0.00001	;	simulated NACO
2007.256	0.00442714508009	0.00001	0.170544195117	0.00001	;	simulated NACO
2007.258	0.00440408294936	0.00001	0.170562440948	0.00001	;	simulated NACO
2007.26	0.00438102026417	0.00001	0.170580665307	0.00001	;	simulated NACO
2007.262	0.00435795702767	0.00001	0.170598868199	0.00001	;	simulated NACO
2007.264	0.00433489324301	0.00001	0.170617049632	0.00001	;	simulated NACO
2007.266	0.00431182891332	0.00001	0.170635209614	0.00001	;	simulated NACO
2007.268	0.00428876404175	0.00001	0.170653348152	0.00001	;	simulated NACO
2007.27	0.00426569863144	0.00001	0.170671465253	0.00001	;	simulated NACO
2007.272	0.00424263268553	0.00001	0.170689560925	0.00001	;	simulated NACO
2007.274	0.00421956620715	0.00001	0.170707635173	0.00001	;	simulated NACO
2007.276	0.00419649919942	0.00001	0.170725688007	0.00001	;	simulated NACO
2007.278	0.00417343166548	0.00001	0.170743719433	0.00001	;	simulated NACO
2007.28	0.00415036360844	0.00001	0.170761729458	0.00001	;	simulated NACO
2007.282	0.00412729503144	0.00001	0.17077971809	0.00001	;	simulated NACO
2007.284	0.00410422593759	0.00001	0.170797685335	0.00001	;	simulated NACO
2007.286	0.00408115633	0.00001	0.170815631201	0.00001	;	simulated NACO
2007.288	0.0040580862118	0.00001	0.170833555695	0.00001	;	simulated NACO
2007.29	0.00403501558608	0.00001	0.170851458825	0.00001	;	simulated NACO
2007.292	0.00401194445596	0.00001	0.170869340597	0.00001	;	simulated NACO
2007.294	0.00398887282454	0.00001	0.170887201019	0.00001	;	simulated NACO
2007.296	0.00396580069493	0.00001	0.170905040098	0.00001	;	simulated NACO
2007.298	0.00394272807022	0.00001	0.17092285784	0.00001	;	simulated NACO
2007.3	0.00391965495351	0.00001	0.170940654254	0.00001	;	simulated NACO
2007.302	0.00389658134789	0.00001	0.170958429346	0.00001	;	simulated NACO
2007.304	0.00387350725646	0.00001	0.170976183123	0.00001	;	simulated NACO
2007.306	0.0038504326823	0.00001	0.170993915593	0.00001	;	simulated NACO
2007.308	0.00382735762851	0.00001	0.171011626762	0.00001	;	simulated NACO
2007.31	0.00380428209815	0.00001	0.171029316639	0.00001	;	simulated NACO
2007.312	0.00378120609432	0.00001	0.171046985229	0.00001	;	simulated NACO
2007.314	0.00375812962008	0.00001	0.17106463254	0.00001	;	simulated NACO
2007.316	0.00373505267852	0.00001	0.171082258579	0.00001	;	simulated NACO
2007.318	0.00371197527271	0.00001	0.171099863353	0.00001	;	simulated NACO
2007.32	0.00368889740571	0.00001	0.171117446869	0.00001	;	simulated NACO
2007.322	0.0036658190806	0.00001	0.171135009135	0.00001	;	simulated NACO
2007.324	0.00364274030043	0.00001	0.171152550156	0.00001	;	simulated NACO
2007.326	0.00361966106826	0.00001	0.171170069941	0.00001	;	simulated NACO
2007.328	0.00359658138717	0.00001	0.171187568497	0.00001	;	simulated NACO
2007.33	0.00357350126019	0.00001	0.17120504583	0.00001	;	simulated NACO
2007.332	0.00355042069039	0.00001	0.171222501947	0.00001	;	simulated NACO
2007.334	0.00352733968081	0.00001	0.171239936856	0.00001	;	simulated NACO
2007.336	0.00350425823451	0.00001	0.171257350563	0.00001	;	simulated NACO
2007.338	0.00348117635453	0.00001	0.171274743075	0.00001	;	simulated NACO
2007.34	0.0034580940439	0.00001	0.171292114401	0.00001	;	simulated NACO
2007.342	0.00343501130568	0.00001	0.171309464545	0.00001	;	simulated NACO
2007.344	0.00341192814289	0.00001	0.171326793516	0.00001	;	simulated NACO
2007.346	0.00338884455858	0.00001	0.17134410132	0.00001	;	simulated NACO
2007.348	0.00336576055577	0.00001	0.171361387965	0.00001	;	simulated NACO
2007.35	0.00334267613749	0.00001	0.171378653456	0.00001	;	simulated NACO
2007.352	0.00331959130677	0.00001	0.171395897802	0.00001	;	simulated NACO
2007.354	0.00329650606663	0.00001	0.17141312101	0.00001	;	simulated NACO
2007.356	0.0032734204201	0.00001	0.171430323085	0.00001	;	simulated NACO
2007.358	0.00325033437019	0.00001	0.171447504035	0.00001	;	simulated NACO
2007.36	0.00322724791992	0.00001	0.171464663868	0.00001	;	simulated NACO
2007.362	0.00320416107231	0.00001	0.171481802589	0.00001	;	simulated NACO
2007.364	0.00318107383036	0.00001	0.171498920206	0.00001	;	simulated NACO
2007.366	0.00315798619708	0.00001	0.171516016725	0.00001	;	simulated NACO
2007.368	0.00313489817548	0.00001	0.171533092154	0.00001	;	simulated NACO
2007.37	0.00311180976856	0.00001	0.1715501465	0.00001	;	simulated NACO
2007.372	0.00308872097932	0.00001	0.171567179768	0.00001	;	simulated NACO
2007.374	0.00306563181076	0.00001	0.171584191967	0.00001	;	simulated NACO
2007.376	0.00304254226588	0.00001	0.171601183103	0.00001	;	simulated NACO
2007.378	0.00301945234766	0.00001	0.171618153183	0.00001	;	simulated NACO
2007.38	0.0029963620591	0.00001	0.171635102213	0.00001	;	simulated NACO
2007.382	0.00297327140319	0.00001	0.171652030201	0.00001	;	simulated NACO
2007.384	0.00295018038291	0.00001	0.171668937154	0.00001	;	simulated NACO
2007.386	0.00292708900124	0.00001	0.171685823077	0.00001	;	simulated NACO
2007.388	0.00290399726117	0.00001	0.171702687979	0.00001	;	simulated NACO
2007.39	0.00288090516566	0.00001	0.171719531865	0.00001	;	simulated NACO
2007.392	0.0028578127177	0.00001	0.171736354743	0.00001	;	simulated NACO
2007.394	0.00283471992026	0.00001	0.171753156619	0.00001	;	simulated NACO
2007.396	0.00281162677631	0.00001	0.1717699375	0.00001	;	simulated NACO
2007.398	0.00278853328881	0.00001	0.171786697394	0.00001	;	simulated NACO
2007.4	0.00276543946073	0.00001	0.171803436306	0.00001	;	simulated NACO
2007.402	0.00274234529504	0.00001	0.171820154243	0.00001	;	simulated NACO
2007.404	0.00271925079469	0.00001	0.171836851213	0.00001	;	simulated NACO
2007.406	0.00269615596264	0.00001	0.171853527222	0.00001	;	simulated NACO
2007.408	0.00267306080184	0.00001	0.171870182276	0.00001	;	simulated NACO
2007.41	0.00264996531524	0.00001	0.171886816383	0.00001	;	simulated NACO
2007.412	0.00262686950581	0.00001	0.171903429549	0.00001	;	simulated NACO
2007.414	0.00260377337648	0.00001	0.17192002178	0.00001	;	simulated NACO
2007.416	0.0025806769302	0.00001	0.171936593085	0.00001	;	simulated NACO
2007.418	0.0025575801699	0.00001	0.171953143468	0.00001	;	simulated NACO
2007.42	0.00253448309854	0.00001	0.171969672938	0.00001	;	simulated NACO
2007.422	0.00251138571905	0.00001	0.1719861815	0.00001	;	simulated NACO
2007.424	0.00248828803436	0.00001	0.172002669162	0.00001	;	simulated NACO
